% >= HS,% >= Bachelor's,"Pov for 25yo<=, <HS","Pov for 25<=, >=Bachelor's",HFR,SNAP_rate,DPI_rate,PI_rate
91.2,39.2,22.5,4.6,0.369,0.09086558042352397,0.11742352637806756,0.13481046977083821
90.2,38.3,25.3,3.7,0.192,0.13444712112721338,0.14860233250949056,0.17800429112683383
88.9,30.9,22.1,3.4,0.32,0.13579602660275955,0.11191763921779946,0.12656532282080007
87.6,28.4,27.5,5.9,0.277,0.154134482011967,0.10756485435706799,0.12132228014209485
86.1,29.9,28.9,4.9,0.361,0.15056693633941737,0.10268367279681939,0.11575352525033455
90.9,31.4,16.7,4.9,0.096,0.12332262925621613,0.13592354059775394,0.1529385382655807
90.0,26.0,22.5,4.9,0.509,0.12241283784801672,0.09719896019724783,0.10807169483496563
88.6,32.9,23.4,4.1,0.238,0.14156987045426625,0.11901784598801592,0.1370480859096932
88.2,24.9,25.0,3.8,0.394,0.11980829718230733,0.09940241966361356,0.111081437516674
91.7,26.8,22.2,3.3,0.36,0.12019572675544338,0.10195149484986558,0.11426844198712527
90.3,31.7,22.0,3.3,0.377,0.08948237736847124,0.1096938417498664,0.12251826675854774
85.1,23.3,33.5,4.7,0.464,0.1694688398804779,0.0896013676982673,0.1003802658014833
84.6,23.2,32.3,4.8,0.456,0.1524390243902439,0.10361244668877753,0.1141751462102712
91.7,30.1,29.7,4.0,0.413,0.16702981882742202,0.09408685572588248,0.10519766115335659
89.6,38.8,20.3,3.2,0.201,0.11770696449020035,0.13157005676021405,0.15287708442955572
90.2,41.5,24.3,4.5,0.088,0.13006967711491352,0.13856866791590933,0.16506081561717392
90.1,27.8,28.7,4.6,0.358,0.15657586875008422,0.09855706781750158,0.1112560165368591
92.8,34.7,24.0,3.0,0.341,0.09536051026842556,0.11333428338041654,0.13179015881620407
83.5,20.8,33.4,5.3,0.474,0.18544854944579311,0.08693455369617638,0.09487047378100294
88.9,27.8,27.0,4.6,0.488,0.12676545165067518,0.09692597022972142,0.10923771575870406
93.5,30.6,24.6,4.8,0.608,0.09696868882653012,0.0955979209457961,0.10748040038186711
91.0,30.2,25.4,3.3,0.362,0.0912761923191146,0.11400749033472685,0.12723315850510442
85.6,23.6,22.4,6.1,0.328,0.13973984348385177,0.10754079639945685,0.12003915302788214
93.1,35.7,18.5,3.1,0.372,0.08695652173913043,0.12561923437303787,0.14060566250978046
89.1,37.6,22.0,3.6,0.081,0.1016646052667487,0.1426209463535179,0.1663454375097829
84.6,26.5,35.2,6.6,0.37,0.17991407159650144,0.09438708737367042,0.10387386666001573
86.0,35.0,29.5,5.2,0.119,0.16071041987676007,0.12970551422274704,0.1571924800800255
86.6,29.4,29.3,4.2,0.316,0.1468866951371644,0.09546658272075802,0.10790528508004564
92.5,29.1,22.3,3.1,0.504,0.07412712337506978,0.11484201291969057,0.12890405933487517
89.7,26.8,27.3,3.9,0.388,0.15006007612899164,0.098520944155792,0.11100023769958896
