% >= HS,% >= Bachelor's,"Pov for 25yo<=, <HS","Pov for 25<=, >=Bachelor's",HFR,SNAP_rate,DPI_rate,PI_rate
90.1,26.3,23.6,3.5,0.431,0.11792683761403656,0.08810926979748475,0.0975028646230893
92.3,24.1,19.4,3.6,0.572,0.06993173341472063,0.10703715838655674,0.11752714281226016
82.7,22.3,29.3,4.1,0.513,0.17476929282327466,0.08285800408338963,0.09101545854643908
91.8,26.4,17.8,2.2,0.627,0.12692262853145767,0.1351929429137683,0.14716745035557455
85.7,26.6,33.4,5.3,0.329,0.1461731580969035,0.087488704635503,0.09643378444051602
83.8,20.3,28.7,4.1,0.527,0.16046969682189316,0.08106092383877207,0.08908090572985072
81.1,30.3,26.3,5.1,0.16,0.09656450533947167,0.1206733830346812,0.13741786160802255
90.2,36.7,25.0,4.7,0.36,0.09127978908447353,0.10014685722501099,0.11333160877761736
89.1,36.2,24.1,3.4,0.163,0.12004353220487954,0.14381733934182325,0.16743015722346802
87.0,28.8,21.1,2.8,0.309,0.12707387932483372,0.106412518908017,0.11933239693630099
85.9,25.8,28.4,5.6,0.325,0.14776867175146274,0.09850294450699473,0.10832644858078408
84.3,27.6,31.6,5.3,0.421,0.15639073732695158,0.09285686078461784,0.10314833817993889
90.6,29.1,20.3,4.7,0.081,0.12048697730307671,0.11990378163156569,0.13203585672469642
88.6,25.2,25.5,6.0,0.466,0.14436058346102074,0.08343154777806695,0.09148076588307684
87.2,31.0,25.1,4.4,0.243,0.1286261865639001,0.105796747788993,0.11995046449300939
87.3,23.0,27.2,3.8,0.351,0.13118542295016317,0.08985834038273917,0.09960281479025468
90.6,25.8,23.0,3.1,0.376,0.11469511368259278,0.09309102415010294,0.10314218439879516
90.0,30.1,24.4,3.4,0.444,0.10320949150450076,0.10065834559467586,0.11182607622213286
83.1,21.1,32.1,3.8,0.529,0.17947126247059147,0.08172951450063214,0.0905309622314958
82.5,21.1,31.8,5.0,0.467,0.16791948438041632,0.09610565031168664,0.10478716591364429
90.9,28.4,25.7,5.0,0.47,0.183193219467042,0.08612175324381262,0.09517200403585901
88.9,36.9,20.7,3.2,0.266,0.10538543380071463,0.1243371685491378,0.14207902771446654
89.2,39.1,24.9,4.2,0.135,0.12976236410805875,0.12352493042245724,0.14339126887242715
88.8,25.6,29.2,4.5,0.325,0.1888905647893548,0.08908632704676266,0.09886304143771407
92.0,32.4,26.6,3.4,0.411,0.09311048964524772,0.10135570292447758,0.11524071096415558
81.1,19.8,32.5,5.1,0.498,0.1771827887558731,0.08282973678781784,0.0894025944711843
87.6,26.1,26.8,4.6,0.434,0.14613122011521207,0.08894943090222693,0.09861213272198999
92.3,28.2,22.8,4.6,0.603,0.11574768089053804,0.08532343846629561,0.09420581323438465
91.0,27.9,24.7,3.4,0.418,0.09774523348991435,0.10570489085382702,0.11618693009118541
84.0,22.5,23.7,6.0,0.318,0.11700388455461994,0.09706296724595664,0.10647547925794419
91.4,33.4,19.6,2.5,0.385,0.09092194077304078,0.11407676191877689,0.12564313569069074
88.1,35.3,21.3,3.1,0.102,0.08824676122108997,0.12923255848459525,0.14814010731686067
83.2,25.6,33.8,5.4,0.366,0.15816417628391016,0.08731436167786416,0.09516372664655245
85.0,32.9,29.0,5.3,0.158,0.1596217162696729,0.11763034127450737,0.13845853984828474
84.7,26.9,30.7,4.2,0.406,0.15295121524780064,0.08658033797365669,0.09637972244936964
90.7,26.3,23.1,2.9,0.541,0.09159963307931132,0.10638724244990122,0.1185012701100762
88.3,24.7,29.6,4.0,0.334,0.15837750120908528,0.08863063243697608,0.099133711060018
86.3,23.8,28.5,4.3,0.533,0.15077030991917412,0.094652017597182,0.10417881088019873
89.4,29.3,28.8,6.2,0.413,0.19541470251071372,0.08487362053133234,0.0958122030693899
88.6,27.0,25.5,3.7,0.362,0.13538321194863706,0.10175183646717773,0.11413629585041156
84.8,31.1,24.5,3.5,0.1,0.15089543224041196,0.10121646828813925,0.11324288857247507
84.2,24.1,33.0,4.2,0.466,0.15888376184537384,0.08264902189804131,0.09067617424812052
90.6,26.3,23.6,5.5,0.479,0.1122967684049317,0.10488807759540864,0.1134074841823554
84.2,23.6,30.6,3.8,0.491,0.18123203594998516,0.09067372989201711,0.09784751571271787
81.1,26.4,30.6,4.2,0.378,0.1405953649395449,0.11044826374490559,0.12144780387712605
90.3,29.7,25.5,4.2,0.392,0.10645482684254393,0.09804637360574406,0.10843242827561794
91.8,35.4,23.6,4.1,0.472,0.14453795879669565,0.09694977424443771,0.1070407758841769
87.8,35.1,22.7,3.0,0.413,0.10152073963854012,0.11369668801096751,0.12894691789410329
90.1,31.9,28.4,4.2,0.335,0.15338630209209758,0.10415806149081087,0.11488961001222735
84.2,18.5,29.4,4.1,0.622,0.16635527489502425,0.07885432304244719,0.08710674890672933
90.4,26.5,23.7,3.6,0.414,0.13426845604548218,0.09218705501390555,0.10311881414392148
