House Leaning,Senate Leaning,Average Leaning,LocYear,Geography,% >= HS,% >= Bachelor's,"Pov for 25yo<=, <HS","Pov for 25<=, >=Bachelor's",GeoFIPS,HFR,SNAP_rate,DPI_rate,PI_rate
0.32,-0.032258064516129004,0.1438709677419355,NY2011,0400000US36,0.85,0.3289999999999999,0.29,0.053,36000,0.158,0.1596217162696729,0.1176303412745073,0.1384585398482847
-0.125,-0.24,-0.1825,NC2011,0400000US37,0.847,0.2689999999999999,0.307,0.042,37000,0.406,0.1529512152478006,0.0865803379736566,0.0963797224493696
-0.46808510638297873,-0.48936170212765956,-0.4787234042553191,ND2011,0400000US38,0.907,0.263,0.231,0.0289999999999999,38000,0.541,0.0915996330793113,0.1063872424499012,0.1185012701100762
-0.19191919191919188,-0.393939393939394,-0.29292929292929293,OH2011,0400000US39,0.883,0.247,0.296,0.04,39000,0.334,0.1583775012090852,0.088630632436976,0.099133711060018
-0.3861386138613861,-0.3333333333333333,-0.3597359735973597,OK2011,0400000US40,0.863,0.238,0.285,0.043,40000,0.533,0.1507703099191741,0.094652017597182,0.1041788108801987
0.0,0.06666666666666665,0.033333333333333326,OR2011,0400000US41,0.894,0.293,0.288,0.062,41000,0.413,0.1954147025107137,0.0848736205313323,0.0958122030693899
-0.10344827586206895,-0.19999999999999996,-0.15172413793103445,PA2011,0400000US42,0.8859999999999999,0.27,0.255,0.037,42000,0.362,0.135383211948637,0.1017518364671777,0.1141362958504115
0.7333333333333334,0.5526315789473685,0.642982456140351,RI2011,0400000US44,0.848,0.311,0.245,0.035,44000,0.1,0.1508954322404119,0.1012164682881392,0.113242888572475
-0.217741935483871,-0.17391304347826092,-0.19582748948106596,SC2011,0400000US45,0.8420000000000001,0.241,0.33,0.042,45000,0.466,0.1588837618453738,0.0826490218980413,0.0906761742481205
-0.4428571428571429,-0.7142857142857142,-0.5785714285714285,SD2011,0400000US46,0.906,0.263,0.236,0.055,46000,0.479,0.1122967684049317,0.1048880775954086,0.1134074841823554
-0.3131313131313132,-0.18181818181818188,-0.24747474747474754,TN2011,0400000US47,0.8420000000000001,0.236,0.306,0.038,47000,0.491,0.1812320359499851,0.0906737298920171,0.0978475157127178
-0.3466666666666667,-0.22580645161290325,-0.28623655913978496,TX2011,0400000US48,0.8109999999999999,0.264,0.306,0.042,48000,0.378,0.1405953649395449,0.1104482637449055,0.121447803877126
-0.5466666666666666,-0.5172413793103448,-0.5319540229885057,UT2011,0400000US49,0.903,0.297,0.255,0.042,49000,0.392,0.1064548268425439,0.098046373605744,0.1084324282756179
0.3133333333333333,0.4666666666666666,0.38999999999999996,VT2011,0400000US50,0.918,0.354,0.236,0.0409999999999999,50000,0.472,0.1445379587966956,0.0969497742444377,0.1070407758841769
-0.19999999999999996,0.10000000000000003,-0.04999999999999996,VA2011,0400000US51,0.878,0.351,0.2269999999999999,0.03,51000,0.413,0.1015207396385401,0.1136966880109675,0.1289469178941032
0.14285714285714285,0.10204081632653056,0.1224489795918367,WA2011,0400000US53,0.901,0.319,0.284,0.042,53000,0.335,0.1533863020920975,0.1041580614908108,0.1148896100122273
0.30000000000000004,0.6470588235294117,0.47352941176470587,WV2011,0400000US54,0.8420000000000001,0.185,0.294,0.0409999999999999,54000,0.622,0.1663552748950242,0.0788543230424471,0.0871067489067293
-0.22222222222222227,-0.15151515151515155,-0.1868686868686869,WI2011,0400000US55,0.904,0.265,0.237,0.036,55000,0.414,0.1342684560454821,0.0921870550139055,0.1031188141439214
-0.6666666666666667,-0.7333333333333334,-0.7000000000000001,WY2011,0400000US56,0.92,0.247,0.203,0.045,56000,0.539,0.0650178171017215,0.1171017214960074,0.128965709381277
-0.23809523809523814,-0.2857142857142857,-0.2619047619047619,AL2012,0400000US01,0.84,0.233,0.31,0.044,1000,0.543,0.1722449271584337,0.0852354445581949,0.09327140224012
-0.10000000000000003,0.0,-0.05000000000000002,AK2012,0400000US02,0.92,0.28,0.206,0.032,2000,0.607,0.1401305776650996,0.1428378985181859,0.1549650110669141
-0.3333333333333333,-0.39999999999999997,-0.36666666666666664,AZ2012,0400000US04,0.857,0.273,0.32,0.054,4000,0.415,0.1502820872112661,0.089820530999495,0.0988356168964721
0.10000000000000003,0.14285714285714285,0.12142857142857144,AR2012,0400000US05,0.848,0.21,0.301,0.043,5000,0.544,0.1586970072360317,0.0852883091360036,0.0935494671983172
0.30000000000000004,0.25,0.275,CA2012,0400000US06,0.815,0.309,0.266,0.054,6000,0.214,0.1021989924365023,0.1267070050024465,0.1445720101670897
